Source,Target,length,Weight,a,b):
173,196,3,3,80,WGL
173,181,3,3,0,WYL
173,175,2,2,0,WR
173,174,2,2,0,WR
174,196,3,3,80,WGL
174,175,2,2,0,WR
175,198,3,3,80,WGO
175,196,2,2,80,WG
176,182,2,2,0,LR
176,180,3,3,0,WYR
177,219,3,3,4,OLB
177,183,3,3,0,YLR
177,181,3,3,0,WLR
177,180,3,3,0,WYL
177,179,3,3,0,WYL
177,178,2,2,0,YL
178,218,3,3,4,OLB
178,183,2,2,0,LR
178,180,3,3,0,WYL
178,179,3,3,0,WYL
179,221,3,3,4,OLB
179,180,3,3,0,WYL
180,220,3,3,4,OLB
180,185,3,3,0,WLR
180,184,3,3,0,WLR
182,223,3,3,0,YOL
182,201,3,3,51,WGR
182,190,3,3,0,YOL
183,185,3,3,0,WYR
183,184,3,3,0,WYR
184,185,2,2,0,WR
185,211,3,3,0,WOL
186,190,3,3,0,WLR
186,188,3,3,0,YLR
186,187,2,2,0,YR
187,188,3,3,0,YLR
188,191,3,3,0,WYR
188,189,3,3,0,WYR
189,191,2,2,0,WR
190,223,3,3,0,YOL
190,202,3,3,51,WGR
190,191,3,3,0,WYL
192,197,3,3,0,YOL
192,196,3,3,0,YOL
192,195,3,3,0,WYL
192,194,3,3,0,WYL
192,193,3,3,0,WYL
193,216,3,3,0,OLR
193,205,3,3,0,YOR
193,197,3,3,0,WOL
193,195,2,2,0,WL
193,194,2,2,0,WL
194,206,3,3,0,YOR
194,198,3,3,0,YOL
194,197,3,3,0,WOL
194,195,2,2,0,WL
195,207,3,3,0,YOR
195,197,3,3,0,WOL
196,222,3,3,0,WLR
